code;name;province;population;pop_men;pop_women;pop_0_14;pop_15_24;pop_25_44;pop_45_64;pop_65plus;origin_native;origin_west;origin_non_west
0757;Boxtel;Noord-Brabant;30320;15060;15260;17;11;23;29;19;86;7;7
0758;Breda;Noord-Brabant;179620;87795;91825;16;14;27;26;17;78;11;11
0762;Deurne;Noord-Brabant;31660;15895;15765;16;13;22;31;19;92;5;3
0765;Pekela;Groningen;12705;6390;6315;16;12;24;29;20;90;6;4
0766;Dongen;Noord-Brabant;25355;12605;12750;17;11;24;30;19;88;6;6
0770;Eersel;Noord-Brabant;18180;9185;8995;15;12;20;32;20;92;6;2
0772;Eindhoven;Noord-Brabant;220920;112765;108150;15;13;31;24;16;69;13;18
0777;Etten-Leur;Noord-Brabant;42355;20965;21390;17;11;26;29;17;82;9;9
0779;Geertruidenberg;Noord-Brabant;21570;10715;10855;17;10;25;30;18;91;6;3
0784;Gilze en Rijen;Noord-Brabant;26070;13070;13000;17;11;24;30;18;85;8;7
0785;Goirle;Noord-Brabant;23095;11430;11665;17;10;22;31;19;89;7;4
0786;Grave;Noord-Brabant;12695;6560;6135;17;11;24;30;18;86;8;6
0788;Haaren;Noord-Brabant;13585;6975;6610;16;12;19;33;19;94;4;2
0794;Helmond;Noord-Brabant;89255;44770;44485;19;11;27;28;15;76;12;12
0796;'s-Hertogenbosch;Noord-Brabant;143730;70855;72875;17;11;29;27;16;80;9;11
0797;Heusden;Noord-Brabant;43165;21615;21550;17;12;23;30;18;88;6;6
0798;Hilvarenbeek;Noord-Brabant;15090;7625;7465;17;12;21;31;19;93;5;2
0809;Loon op Zand;Noord-Brabant;23080;11420;11660;16;11;23;31;20;91;6;3
0815;Mill en Sint Hubert;Noord-Brabant;10850;5510;5340;16;12;21;33;19;95;4;1
0820;Nuenen. Gerwen en Nederwetten;Noord-Brabant;22620;11230;11385;16;11;19;32;23;88;9;3
0823;Oirschot;Noord-Brabant;17980;9080;8900;17;12;21;32;19;94;4;2
0824;Oisterwijk;Noord-Brabant;25800;12695;13105;16;11;21;30;22;90;6;4
0826;Oosterhout;Noord-Brabant;53715;26435;27280;16;11;23;30;20;81;9;10
0828;Oss;Noord-Brabant;84955;42435;42515;17;12;25;29;18;83;8;9
0840;Rucphen;Noord-Brabant;22180;11125;11055;13;11;21;35;20;92;6;2
0844;Schijndel;Noord-Brabant;23360;11705;11650;17;11;23;31;18;92;5;3
0845;Sint-Michielsgestel;Noord-Brabant;28120;14125;13990;17;11;21;31;20;93;5;2
0846;Sint-Oedenrode;Noord-Brabant;17935;8935;8995;17;12;22;30;19;92;5;3
0847;Someren;Noord-Brabant;18690;9495;9195;15;13;22;31;18;92;6;2
0848;Son en Breugel;Noord-Brabant;16235;8020;8215;18;11;22;28;22;89;8;3
0851;Steenbergen;Noord-Brabant;23375;11740;11635;15;11;23;31;20;90;7;3
0852;Waterland;Noord-Holland;17135;8495;8640;16;11;20;32;21;89;7;4
0855;Tilburg;Noord-Brabant;210270;104595;105675;16;15;28;26;15;75;10;15
0856;Uden;Noord-Brabant;40910;20275;20640;17;11;25;29;18;85;8;7
0858;Valkenswaard;Noord-Brabant;30335;14985;15345;14;10;22;31;23;87;9;4
0860;Veghel;Noord-Brabant;37465;18820;18640;18;11;24;29;17;83;8;9
0861;Veldhoven;Noord-Brabant;44155;22005;22145;16;11;24;30;19;85;10;5
0865;Vught;Noord-Brabant;25635;12720;12920;17;11;23;30;19;87;9;4
0866;Waalre;Noord-Brabant;16765;8275;8490;17;10;20;30;23;86;10;4
