PC4;X;Y
2571;79455.8805366234;453820.831024967
2572;79997.1540983561;453445.820059452
2573;79389.9873943313;453564.254763953
2574;78977.2353665317;453404.850856319
2581;78436.5677045385;456508.868871861
2582;78760.4771278251;456640.346638806
2583;77956.83933774;456825.151114237
2584;79225.1977358402;457524.226407521
2585;80442.9394536397;456762.173272669
2586;79292.989947876;458580.67876646
2587;79836.3808607721;458532.765665878
2591;84778.8129600867;456613.968509978
2592;84296.3880542917;456391.198054077
2593;83292.670443298;455721.150055997
2594;83422.512415514;456421.909979159
2595;83004.3415516709;455457.106775664
2596;82198.1052163006;456855.065527212
2597;82053.4680613753;457639.615397456
2611;84336.6221223984;447719.520265961
2612;84870.6674491337;448116.308217165
2613;83683.5150117359;447437.84261687
2614;82702.8655714098;446848.047975979
2616;85797.5780662206;448216.89415
2622;83469.8480671937;444270.512737945
2623;84409.7264885135;444412.267980406
2624;84159.4104699346;445886.967492811
2625;82925.3155523255;445528.433194186
2626;84511.5273454106;443845.204824155
2627;85035.6503012738;445334.760700212
2628;85612.9042716694;446520.908725464
2629;86460.1531929452;444361.134922751
2631;87275.7184771647;451207.334248429
2632;86960.736072161;451687.52549707
2635;81908.4543746521;446646.700181221
2636;82190.1228136461;443313.810422654
2641;89719.8361600548;447477.696754633
2642;90585.3192649705;447046.16237456
2643;90181.8872673202;446568.029191503
2645;87296.366845797;447148.539945314
2651;91616.8650987742;445386.691071302
2652;91387.1598511405;445100.103751214
2661;94331.2380364996;444344.013970592
2662;93473.9847405119;444923.564534036
2665;96612.7662626962;448497.173280332
2671;74349.1888937364;445684.829668552
2672;74413.8602127931;445455.209128465
2673;73424.062880303;446712.476626623
2675;75837.9116548512;446882.692164036
2676;73976.0722175438;441834.903302456
2678;77856.3800426061;443672.01143836
2681;72638.2234719054;449575.988970793
2684;71421.920558865;449810.971770213
2685;75119.436793613;449225.242361314
2691;71531.0567825665;445896.967249298
2692;71182.7116570176;446173.161405921
2693;71928.278095366;446303.782927073
2694;71166.5145365079;447200.525177778
2711;93517.5037422037;452963.492990229
2712;94448.5332044444;451721.853625812
2713;93128.9028083591;452241.516301548
2715;92312.4480868627;452438.767782549
2716;90760.7136863083;453019.338474848
2717;92236.7615797704;454022.233526829
2718;93325.9473044373;450502.332222346
2719;92483.8101050546;450708.78443265
2721;97102.9760773654;452603.834642301
2722;95234.1537374422;452068.897477042
2723;95631.5316889267;452851.05331431
2724;94866.2254807106;453384.839874619
2725;94198.8909314393;454751.794641667
2726;93411.8452805944;453557.901813636
2727;95026.3505054631;454102.409513302
2728;95424.9746285945;454644.112522779
2729;96522.281383664;453152.295335725
2731;98094.6403506023;454757.920306747
2735;95888.9088891753;456381.25667165
2741;105488.081192253;450024.88585332
2742;103173.391880495;450611.040156035
2743;103612.907391794;450215.813416794
2751;100025.568484375;451656.583670313
2752;99638.4838888888;449989.339491188
2761;99273.6226060975;445985.684978618
2771;105627.810895055;454755.674695823
2801;107940.675038889;447417.326998889
2802;107678.33510975;446658.942170521
2803;107261.692808868;448717.924986793
2804;108496.516055769;449438.856471539
